Date,Open,High,Low,Close ,Adj Close ,Volume
30-Nov-24,"97,468.81","97,499.34","96,144.22","96,449.05","96,449.05","31,634,227,866"
29-Nov-24,"95,653.95","98,693.17","95,407.88","97,461.52","97,461.52","54,968,682,476"
28-Nov-24,"95,954.95","96,650.20","94,677.35","95,652.47","95,652.47","52,260,008,261"
27-Nov-24,"91,978.14","97,361.18","91,778.66","95,962.53","95,962.53","71,133,452,438"
26-Nov-24,"93,087.28","94,991.75","90,770.81","91,985.32","91,985.32","91,656,519,855"
25-Nov-24,"98,033.45","98,935.03","92,642.91","93,102.30","93,102.30","80,909,462,490"
24-Nov-24,"97,778.09","98,647.18","95,788.08","98,013.82","98,013.82","51,712,020,623"
23-Nov-24,"99,006.74","99,014.68","97,232.89","97,777.28","97,777.28","44,414,644,677"
22-Nov-24,"98,496.43","99,655.50","97,222.66","98,997.66","98,997.66","78,473,580,551"
21-Nov-24,"94,334.64","99,014.22","94,132.60","98,504.73","98,504.73","106,024,505,582"
20-Nov-24,"92,341.89","94,902.02","91,619.50","94,339.49","94,339.49","71,730,956,426"
19-Nov-24,"90,536.81","94,002.87","90,426.98","92,343.79","92,343.79","74,521,048,295"
18-Nov-24,"89,843.72","92,596.79","89,393.59","90,542.64","90,542.64","75,535,775,084"
17-Nov-24,"90,558.46","91,433.04","88,741.66","89,845.85","89,845.85","46,350,159,305"
16-Nov-24,"91,064.37","91,763.95","90,094.23","90,558.48","90,558.48","44,333,192,814"
15-Nov-24,"87,284.18","91,868.74","87,124.90","91,066.01","91,066.01","78,243,109,518"
14-Nov-24,"90,574.88","91,765.22","86,682.81","87,250.43","87,250.43","87,616,705,248"
13-Nov-24,"87,929.97","93,434.35","86,256.93","90,584.16","90,584.16","123,559,027,869"
12-Nov-24,"88,705.56","89,956.88","85,155.11","87,955.81","87,955.81","133,673,285,375"
11-Nov-24,"80,471.41","89,604.50","80,283.25","88,701.48","88,701.48","117,966,845,037"
10-Nov-24,"76,775.55","81,474.42","76,565.43","80,474.19","80,474.19","82,570,594,495"
09-Nov-24,"76,556.19","76,932.77","75,773.79","76,778.87","76,778.87","29,009,480,361"
08-Nov-24,"75,902.84","77,252.75","75,648.74","76,545.48","76,545.48","55,176,858,003"
07-Nov-24,"75,637.09","76,943.12","74,480.42","75,904.86","75,904.86","63,467,654,989"
06-Nov-24,"69,358.50","76,460.16","69,322.03","75,639.08","75,639.08","118,592,653,963"
05-Nov-24,"67,811.17","70,522.79","67,458.87","69,359.56","69,359.56","46,046,889,204"
04-Nov-24,"68,742.13","69,433.18","66,803.65","67,811.51","67,811.51","41,184,819,348"
03-Nov-24,"69,296.38","69,361.66","67,482.52","68,741.12","68,741.12","34,868,307,655"
02-Nov-24,"69,486.02","69,867.35","69,033.72","69,289.27","69,289.27","18,184,612,091"
01-Nov-24,"70,216.90","71,559.02","68,779.70","69,482.47","69,482.47","49,989,795,365"
31-Oct-24,"72,335.05","72,662.31","69,590.50","70,215.19","70,215.19","40,627,912,076"
30-Oct-24,"72,715.37","72,905.30","71,411.73","72,339.54","72,339.54","40,646,637,831"
29-Oct-24,"69,910.05","73,577.21","69,729.91","72,720.49","72,720.49","58,541,874,402"
28-Oct-24,"67,922.67","70,212.27","67,535.13","69,907.76","69,907.76","38,799,856,657"
27-Oct-24,"67,023.48","68,221.31","66,847.23","67,929.30","67,929.30","16,721,307,878"
26-Oct-24,"66,628.73","67,317.92","66,360.59","67,014.70","67,014.70","19,588,098,156"
25-Oct-24,"68,165.30","68,722.16","65,521.79","66,642.41","66,642.41","41,469,984,306"
24-Oct-24,"66,653.70","68,798.96","66,454.10","68,161.05","68,161.05","31,414,428,647"
23-Oct-24,"67,362.38","67,402.74","65,188.04","66,432.20","66,432.20","32,263,980,353"
22-Oct-24,"67,360.70","67,801.58","66,581.37","67,361.41","67,361.41","31,808,472,566"
21-Oct-24,"69,002.00","69,462.73","66,829.85","67,367.85","67,367.85","37,498,611,780"
20-Oct-24,"68,364.18","69,359.01","68,105.72","69,001.70","69,001.70","18,975,847,518"
19-Oct-24,"68,418.98","68,668.01","68,024.64","68,362.73","68,362.73","14,443,497,908"
18-Oct-24,"67,419.11","68,969.75","67,177.82","68,418.79","68,418.79","36,857,165,014"
17-Oct-24,"67,617.08","67,912.21","66,647.39","67,399.84","67,399.84","32,790,898,511"
