iperm,date_announce
10107,6 Nov 1995
10107,11 Dec 1995
10107,16 Jan 1996
10107,12 Mar 1996
10107,12 Mar 1996
10107,1 Apr 1996
10107,8 Apr 1996
10107,16 Apr 1996
10107,10 Jun 1996
10107,17 Jun 1996
10107,3 Jul 1996
10107,9 Sep 1996
10107,1 Oct 1996
10107,28 Oct 1996
10107,15 Nov 1996
10107,10 Dec 1996
10107,10 Dec 1996
10107,18 Feb 1997
10107,3 Mar 1997
10107,7 Apr 1997
10107,7 May 1997
10107,9 Jun 1997
10107,13 Jun 1997
10107,29 Jul 1997
10107,5 Aug 1997
10107,6 Aug 1997
10107,19 Aug 1997
10107,23 Sep 1997
10107,15 Oct 1997
10107,5 Nov 1997
10107,5 Dec 1997
10107,4 Mar 1998
10107,6 Mar 1998
10107,10 Apr 1998
10107,28 Apr 1998
10107,18 Jun 1998
10107,25 Aug 1998
10107,16 Oct 1998
10107,4 Nov 1998
10107,14 Dec 1998
10107,6 Jan 1999
10107,7 Jan 1999
10107,11 Jan 1999
10107,1 Feb 1999
10107,2 Mar 1999
10107,4 Mar 1999
10107,8 Mar 1999
10107,19 Mar 1999
10107,26 Mar 1999
10107,20 Apr 1999
10107,26 Apr 1999
10107,27 Apr 1999
10107,5 May 1999
10107,10 May 1999
10107,26 May 1999
10107,8 Jun 1999
10107,8 Jun 1999
10107,15 Jun 1999
10107,22 Jun 1999
10107,20 Aug 1999
10107,15 Sep 1999
10107,19 Sep 1999
10107,29 Oct 1999
10107,16 Dec 1999
10107,20 Dec 1999
10107,21 Jan 2000
10107,23 Jan 2000
10107,24 Jan 2000
10107,9 Feb 2000
10107,23 Feb 2000
10107,13 Mar 2000
10107,27 Apr 2000
10107,19 Jun 2000
10107,30 Jun 2000
10107,12 Jul 2000
10107,4 Aug 2000
10107,13 Sep 2000
10107,27 Sep 2000
10107,29 Nov 2000
10107,5 Dec 2000
10107,21 Dec 2000
10107,12 Feb 2001
10107,3 May 2001
10107,14 Feb 2002
10107,22 May 2002
10107,10 Sep 2002
10107,22 Oct 2002
10107,21 Jan 2003
10107,25 Feb 2003
10107,29 Aug 2003
10107,26 Apr 2004
10107,20 Jul 2004
10107,16 Dec 2004
10107,8 Feb 2005
10107,10 Mar 2005
10107,20 Jul 2005
10107,29 Aug 2005
10107,3 Nov 2005
10107,16 Dec 2005
10108,11 Aug 1986
10108,24 Dec 1986
10108,31 Dec 1987
10108,7 Mar 1989
10108,22 Aug 1989
10108,12 Jan 1990
10108,15 May 1990
10108,15 Oct 1990
10108,13 Nov 1991
10108,6 Feb 1992
10108,2 Jun 1993
10108,17 Jun 1993
10108,3 May 1994
10108,16 Nov 1994
10108,6 Feb 1995
10108,14 Jul 1995
10108,28 Sep 1995
10108,2 Oct 1995
10108,2 Oct 1995
10108,20 Oct 1995
10108,31 May 1996
10108,18 Oct 1996
10108,14 Jan 1997
10108,24 Mar 1997
10108,23 Sep 1997
10108,29 Sep 1997
10108,17 Oct 1997
10108,18 Dec 1997
10108,20 May 1998
10108,23 Jun 1998
10108,18 Jan 1999
10108,17 Feb 1999
10108,19 Feb 1999
10108,11 Mar 1999
10108,12 May 1999
10108,31 Aug 1999
10108,30 Sep 1999
10108,17 Feb 2000
10108,7 Jun 2000
10108,19 Jun 2000
10108,23 Aug 2000
10108,4 Oct 2000
10108,26 Mar 2001
10108,31 May 2001
10108,1 Oct 2001
10108,12 Oct 2001
10108,9 Jul 2002
10108,3 Jan 2003
10108,21 Jan 2003
10108,5 Feb 2003
10108,9 Dec 2003
10114,12 Mar 1990
10114,6 Jan 1992
10114,7 Apr 1994
10114,21 Jun 1994
10114,20 Dec 1994
10114,7 Mar 1995
10114,10 Oct 1995
10114,26 Jan 1996
10114,18 Nov 1999
10122,25 Feb 1998
10122,29 Dec 1998
10122,29 Dec 1999
10123,7 May 1982
10123,25 May 1983
10123,14 Oct 1983
10123,23 Feb 1984
10123,12 Mar 1984
10123,29 Nov 1984
10123,25 Sep 1985
10123,30 Jun 1986
10123,1 Nov 1988
10123,18 May 1989
10123,24 Jul 1992
10123,25 Oct 1995
10123,1 Dec 1997
10123,8 Jan 1998
10123,10 Aug 1998
10123,25 Aug 1998
10123,8 Sep 1998
10123,8 Sep 1998
10123,5 Nov 1998
10123,8 May 2000
10125,24 May 1989
10126,25 Aug 1989
10126,21 Oct 1991
10126,5 Aug 1993
10126,26 Apr 1994
10126,2 Sep 1994
10126,26 Jan 1996
10126,29 Apr 1996
10126,30 Oct 1997
10126,30 Oct 1997
10126,16 Dec 1997
10126,18 May 1998
10126,16 Feb 1999
10126,21 Jul 1999
10126,30 Dec 1999
10127,30 Oct 1989
10127,22 Jan 1991
10127,26 Jan 1996
10127,23 Sep 1998
10127,10 Jan 2002
10128,3 Jun 1999
10128,26 Aug 1999
10136,3 May 1990
10136,11 Apr 1991
10136,29 Jul 1992
10137,5 Mar 1999
10137,9 Sep 1999
10137,14 Nov 2000
10137,8 Jan 2001
10137,30 May 2001
10140,24 Dec 1986
10140,19 Nov 1990
10140,17 Nov 1992
10142,25 Feb 1987
10142,12 Aug 1997
10143,3 Aug 1999
10143,26 Nov 2001
10143,10 Feb 2003
10143,21 Aug 2005
10145,3 Dec 1999
10145,20 Dec 1999
10145,10 Jan 2000
10145,18 Feb 2000
10145,24 Jul 2000
10145,5 Jan 2001
10145,1 Jul 2002
10145,8 Aug 2002
10145,7 Jan 2003
10145,14 Jan 2003
10145,5 Mar 2003
10145,23 Oct 2003
10145,3 Jun 2004
10145,19 Jul 2004
10145,6 Oct 2004
10145,15 Nov 2004
10145,15 Jun 2005
10145,3 Oct 2005
10145,4 Nov 2005
10145,30 Nov 2005
10147,23 Oct 1987
10147,15 Jan 1992
10147,21 Jun 1993
10147,20 Jul 1993
10147,8 Mar 1994
10147,25 Oct 1995
10147,25 Jan 1996
10147,12 Feb 1996
10147,1 Dec 1997
10147,10 Aug 1998
10147,9 Aug 1999
10147,1 Nov 1999
10147,21 Dec 1999
10147,14 Jan 2000
10147,16 Aug 2000
10147,1 Nov 2000
10147,20 Sep 2001
10147,25 Sep 2002
10147,15 Apr 2003
10147,8 Jul 2003
10147,14 Oct 2003
10147,15 Dec 2003
10147,8 Oct 2004
10147,22 Oct 2004
10147,21 Dec 2004
10147,17 Aug 2005
10147,20 Oct 2005
10149,7 Nov 1989
10149,13 Aug 1996
10149,2 Sep 1998
10149,6 Apr 2000
10152,13 Nov 1989
10152,23 May 2002
10154,11 Jul 1984
10154,23 Jun 1986
10154,22 Oct 1987
10154,29 Oct 1992
10154,19 Feb 1993
10155,18 Jul 1991
10155,1 Aug 1991
10155,2 Aug 1991
10155,21 Oct 1992
10155,10 Dec 1993
10155,2 Feb 1995
10155,17 Aug 1995
10155,14 Sep 1995
10155,9 Jan 1998
10155,18 Mar 1998
10155,18 Mar 1998
10155,8 Dec 1998
10155,8 Dec 1998
10155,1 Jul 1999
10155,22 Jul 1999
10155,9 Jan 2003
10155,9 Jan 2003
10157,25 Jan 1988
10157,20 Sep 1991
10157,21 Oct 1991
10157,24 Jan 1995
10157,14 Mar 1995
10157,29 Feb 1996
10160,19 Jun 1997
10160,27 Apr 2001
10161,15 Feb 1983
10161,14 Nov 1985
10161,1 May 1986
10161,15 Jul 1986
10161,21 Oct 1987
10161,20 May 1988
10161,17 Jun 1988
10161,6 Sep 1988
10161,11 May 1990
10161,21 May 1990
10161,11 Jul 1991
10161,11 Jul 1991
10163,19 Jul 1994
10163,16 Nov 1994
10163,17 Apr 1997
10163,21 Jan 1998
10163,21 Sep 2000
10163,8 Oct 2000
10163,2 Jul 2003
10163,9 Jun 2005
10175,27 Jul 1999
10175,30 Nov 1999
10175,15 Mar 2000
10177,26 May 2005
10179,28 Feb 1996
10179,29 May 1996
10179,23 Oct 1996
10180,10 Aug 1989
10180,16 Nov 1990
10180,14 Feb 1991
10180,31 Oct 1991
10180,1 Jul 1994
10180,7 May 1996
10180,18 Jun 1996
10180,14 Apr 1998
10180,14 Jul 1998
10180,16 Jul 1998
10182,22 Oct 1987
10182,5 Jan 1994
10182,4 Apr 2005
10185,28 Jul 1989
10185,27 Sep 1989
10185,23 Feb 1990
10185,30 May 1990
10185,23 Jul 1990
10185,5 Oct 1993
10185,29 Mar 1996
10185,15 Apr 1996
10185,16 Apr 1996
10185,24 Feb 1997
10185,18 Apr 1997
10185,2 Oct 1997
10185,11 Mar 1999
10185,15 Jun 1999
10187,18 Apr 1996
10189,4 Oct 1984
10190,1 Mar 1988
10190,9 Mar 1989
10191,14 Apr 1989
10192,7 Nov 1995
10192,22 Aug 1997
10192,23 Mar 1998
10192,16 Oct 1998
10194,30 Aug 1990
10194,10 Oct 1991
10194,11 May 1995
10194,18 Jun 1996
10194,17 Dec 1997
10194,21 Apr 1999
10199,11 Jun 1986
10199,13 Oct 1993
10199,25 Jul 1996
10200,2 Oct 1991
10200,3 Jan 1992
10200,14 Mar 1996
10202,28 Oct 1987
10205,25 Jul 2002
10211,23 Nov 1993
10211,4 Oct 1995
10211,10 Aug 2000
10211,16 Jul 2002
10211,24 May 2004
10212,12 Mar 1992
10212,27 Apr 1992
10212,1 Dec 1992
10213,7 Aug 1989
10213,9 Apr 1991
10213,24 Sep 1991
10213,24 Oct 1991
10213,18 Nov 1991
10214,2 Nov 1995
10218,28 Sep 1983
10218,20 Mar 1984
10218,5 Jun 1989
10218,29 Apr 1993
10218,17 Jul 1995
10218,15 Jan 1997
10218,29 Dec 1997
10222,27 Oct 1987
10222,23 Dec 1988
10222,20 Jul 1989
10222,28 Dec 1989
10222,30 Apr 1990
10222,1 Oct 1991
10222,16 Sep 1993
10225,12 Sep 1997
10225,3 Jun 1998
10225,22 Jul 1998
10225,22 Jul 1998
10225,11 Mar 1999
10225,12 Oct 1999
10225,19 Oct 1999
10225,25 Jan 2000
10225,30 Jan 2001
10225,19 Apr 2003
10225,3 Nov 2003
10230,26 Jan 1988
10230,27 Jun 1989
